Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,17.2%,21.6%,26.4%,18.7%,16.2%,16.7%
2,Detroit,16.8%,17.8%,18.6%,16.3%,17.2%,14.4%
3,Phoenix,16.3%,18.2%,20.2%,16.2%,16.4%,12.1%
4,LA Lakers,15.9%,17.6%,16.4%,16.1%,15.8%,13.4%
5,Golden State,15.9%,15.6%,20.4%,16.1%,15.8%,15.5%
6,New Orleans,15.7%,18.2%,18.5%,16.9%,14.6%,13.6%
7,Portland,15.7%,14.8%,13.6%,16.7%,14.9%,15.1%
8,Atlanta,15.6%,13.8%,10.5%,15.7%,15.6%,15.0%
9,Cleveland,15.5%,13.3%,12.7%,15.2%,16.0%,14.1%
10,Minnesota,15.5%,20.4%,25.8%,15.7%,15.3%,14.6%
11,Toronto,15.4%,17.7%,17.0%,15.4%,15.5%,14.5%
12,New York,14.9%,13.3%,17.2%,16.0%,13.0%,14.3%
13,Boston,14.9%,14.4%,14.4%,15.1%,14.6%,12.8%
14,San Antonio,14.5%,13.7%,15.3%,14.6%,14.4%,13.3%
15,Orlando,14.4%,17.0%,19.7%,14.4%,14.5%,16.0%
16,Miami,14.2%,17.3%,15.7%,14.7%,13.8%,13.6%
17,Milwaukee,14.0%,15.6%,12.6%,14.1%,13.8%,12.4%
18,Brooklyn,13.9%,15.1%,13.4%,13.7%,14.0%,14.9%
19,Sacramento,13.8%,12.5%,7.7%,15.1%,12.8%,13.5%
20,Memphis,13.7%,15.1%,16.3%,13.2%,14.5%,13.9%
21,LA Clippers,13.6%,8.5%,10.3%,14.3%,12.9%,14.8%
22,Houston,13.2%,11.2%,14.6%,13.8%,12.7%,13.9%
23,Dallas,13.2%,12.0%,12.0%,12.9%,14.1%,12.9%
24,Utah,13.2%,14.0%,13.2%,13.0%,13.4%,11.3%
25,Philadelphia,13.1%,12.5%,12.6%,12.4%,14.0%,15.8%
26,Indiana,12.9%,14.0%,13.6%,12.9%,12.9%,14.3%
27,Charlotte,12.9%,15.3%,15.2%,12.0%,13.6%,13.1%
28,Denver,12.5%,11.3%,14.6%,12.8%,12.1%,12.3%
29,Washington,11.5%,12.9%,14.2%,11.9%,11.3%,12.7%
30,Chicago,11.3%,10.2%,8.7%,10.7%,11.8%,11.9%
