Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,4.1%,2.7%,3.6%,3.3%,4.7%,4.1%
2,San Antonio,4.2%,4.9%,6.6%,4.2%,4.3%,4.2%
3,Golden State,4.4%,3.9%,4.8%,4.6%,4.3%,4.4%
4,Atlanta,4.5%,4.2%,4.6%,4.4%,4.6%,4.5%
5,Milwaukee,4.5%,5.7%,6.5%,3.8%,5.5%,4.5%
6,Cleveland,4.6%,4.0%,5.6%,4.6%,4.5%,4.6%
7,LA Lakers,4.6%,3.7%,2.4%,4.4%,4.8%,4.6%
8,Minnesota,4.9%,4.3%,2.3%,5.3%,4.6%,4.9%
9,Indiana,5.0%,7.0%,9.1%,4.0%,5.8%,5.0%
10,New York,5.0%,5.2%,5.4%,4.9%,5.3%,5.0%
11,Brooklyn,5.1%,3.7%,1.2%,5.4%,4.7%,5.1%
12,Phoenix,5.1%,4.7%,4.9%,4.8%,5.4%,5.1%
13,LA Clippers,5.1%,5.4%,4.5%,4.9%,5.3%,5.1%
14,Charlotte,5.1%,7.2%,7.5%,4.8%,5.4%,5.1%
15,Detroit,5.2%,5.3%,6.0%,5.3%,4.9%,5.2%
16,Denver,5.2%,4.3%,2.6%,4.2%,6.1%,5.2%
17,Boston,5.3%,5.6%,6.7%,5.6%,5.0%,5.3%
18,Memphis,5.5%,5.9%,5.1%,5.1%,6.0%,5.5%
19,Houston,5.6%,7.1%,6.5%,6.0%,5.1%,5.6%
20,Philadelphia,5.6%,2.6%,2.1%,5.5%,5.8%,5.6%
21,Sacramento,5.8%,6.7%,3.8%,5.6%,5.9%,5.8%
22,Dallas,5.9%,7.5%,4.8%,6.0%,5.5%,5.9%
23,Miami,6.0%,8.4%,13.0%,5.9%,6.0%,6.0%
24,Orlando,6.0%,4.8%,6.4%,4.9%,7.5%,6.0%
25,Portland,6.3%,5.5%,3.4%,6.6%,6.0%,6.3%
26,Chicago,6.4%,5.9%,7.8%,6.9%,5.9%,6.4%
27,Utah,6.4%,5.3%,5.1%,6.7%,6.1%,6.4%
28,Toronto,6.5%,7.5%,4.8%,5.8%,7.0%,6.5%
29,Washington,6.6%,6.2%,4.7%,8.0%,5.7%,6.6%
30,New Orleans,7.2%,5.5%,9.9%,6.4%,8.1%,7.2%
