Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Boston,11.5%,13.3%,13.4%,9.6%,13.3%,12.1%
2,Okla City,12.2%,15.2%,13.2%,12.3%,12.2%,11.4%
3,New York,12.6%,10.5%,8.6%,12.5%,12.8%,13.2%
4,Miami,13.0%,11.3%,8.7%,12.7%,13.4%,13.7%
5,Denver,13.2%,13.6%,14.6%,12.3%,14.1%,14.0%
6,Indiana,13.3%,15.9%,12.7%,12.9%,13.7%,13.0%
7,Cleveland,13.4%,14.3%,13.6%,14.0%,12.6%,12.7%
8,Memphis,13.4%,11.9%,7.7%,13.1%,14.0%,14.8%
9,Toronto,13.5%,15.1%,14.2%,13.4%,13.5%,14.8%
10,Milwaukee,13.7%,14.7%,12.6%,13.2%,14.4%,13.1%
11,Sacramento,13.9%,15.1%,16.3%,14.5%,13.4%,13.1%
12,Chicago,14.0%,13.0%,15.7%,13.8%,14.1%,13.8%
13,Philadelphia,14.0%,14.1%,12.6%,13.7%,14.2%,13.4%
14,Detroit,14.2%,14.9%,14.7%,15.5%,12.5%,14.4%
15,Brooklyn,14.5%,14.4%,14.4%,15.7%,13.5%,15.1%
16,Minnesota,14.6%,15.4%,20.2%,15.0%,14.2%,14.5%
17,Atlanta,14.7%,16.6%,15.3%,16.0%,13.9%,14.4%
18,Orlando,14.7%,10.4%,10.3%,15.6%,13.5%,14.1%
19,Houston,14.7%,13.9%,14.6%,12.1%,17.2%,13.5%
20,New Orleans,14.8%,14.7%,12.0%,15.1%,14.5%,14.2%
21,San Antonio,15.0%,11.4%,10.5%,14.9%,15.4%,13.5%
22,Portland,15.5%,17.6%,20.4%,15.6%,15.4%,15.5%
23,Charlotte,15.6%,14.3%,12.4%,16.9%,14.5%,15.3%
24,Washington,15.8%,15.2%,17.0%,14.8%,16.5%,14.9%
25,LA Clippers,15.9%,14.8%,19.7%,16.3%,15.4%,14.5%
26,Dallas,16.0%,17.9%,18.5%,16.2%,15.4%,13.6%
27,Phoenix,16.0%,19.4%,25.8%,16.5%,15.3%,13.9%
28,LA Lakers,16.0%,16.7%,15.5%,15.3%,16.5%,13.9%
29,Golden State,16.1%,17.5%,13.6%,12.4%,17.9%,13.8%
30,Utah,16.5%,16.0%,26.4%,16.4%,16.5%,16.5%
