Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Lakers,62.3%,67.1%,75.0%,65.7%,60.0%,56.1%
2,San Antonio,59.6%,62.1%,60.8%,58.9%,60.8%,55.1%
3,Denver,59.2%,60.0%,61.7%,59.7%,58.8%,56.9%
4,Okla City,58.2%,60.3%,60.9%,61.9%,55.9%,55.2%
5,Toronto,57.8%,59.0%,61.8%,55.8%,59.0%,52.3%
6,Minnesota,57.0%,54.4%,55.1%,56.7%,57.4%,54.4%
7,Atlanta,57.0%,64.4%,58.0%,52.7%,59.4%,55.0%
8,Cleveland,56.4%,59.3%,55.6%,58.3%,53.8%,57.9%
9,Detroit,55.5%,62.8%,67.3%,53.7%,57.6%,54.8%
10,Milwaukee,55.5%,45.5%,55.4%,58.1%,52.1%,55.6%
11,LA Clippers,55.2%,46.9%,41.5%,58.6%,51.5%,55.2%
12,Portland,55.0%,54.9%,60.5%,53.5%,56.1%,52.7%
13,Orlando,54.9%,52.7%,45.0%,53.8%,56.2%,53.3%
14,Phoenix,54.8%,54.3%,50.0%,57.4%,51.6%,55.6%
15,Boston,54.6%,51.6%,55.4%,56.5%,52.6%,56.4%
16,Utah,54.5%,58.7%,53.7%,55.9%,52.9%,54.0%
17,Miami,54.5%,47.6%,53.2%,53.9%,55.1%,53.9%
18,Chicago,54.1%,55.2%,53.2%,54.7%,53.5%,55.5%
19,Brooklyn,53.8%,56.5%,61.2%,52.6%,54.8%,51.5%
20,Golden State,53.7%,54.7%,57.5%,58.1%,51.5%,52.4%
21,New York,53.7%,56.3%,56.9%,52.8%,55.4%,55.0%
22,Charlotte,53.7%,47.9%,48.4%,53.4%,53.9%,49.9%
23,Dallas,53.4%,49.6%,58.5%,52.9%,54.8%,55.1%
24,Philadelphia,52.5%,53.7%,54.5%,52.7%,52.1%,53.7%
25,Sacramento,52.2%,53.5%,55.3%,48.1%,55.3%,55.4%
26,Washington,51.9%,53.6%,60.0%,49.7%,53.5%,51.9%
27,Memphis,51.7%,51.8%,73.3%,53.1%,50.1%,55.2%
28,Houston,51.7%,45.8%,47.4%,50.6%,52.8%,51.6%
29,New Orleans,50.7%,54.8%,54.7%,51.6%,49.8%,51.8%
30,Indiana,48.2%,54.3%,51.0%,51.4%,45.8%,56.3%
