Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Toronto,0.0,0.000,--,0.000,--,0.0
1,LA Lakers,0.0,--,--,0.000,0.000,0.0
3,Atlanta,0.2,0.000,--,--,0.200,0.2
3,Miami,0.2,0.000,--,0.000,0.500,0.2
5,Sacramento,0.25,--,--,0.000,0.500,0.25
5,Detroit,0.25,--,--,0.000,0.333,0.25
7,Chicago,0.286,0.000,--,0.250,0.333,0.286
8,Philadelphia,0.375,0.000,--,0.400,0.333,0.375
9,Utah,0.4,0.000,--,0.333,0.500,0.4
10,Boston,0.5,0.000,--,0.667,0.333,0.5
10,Dallas,0.5,0.500,0.000,0.500,--,0.5
10,Minnesota,0.5,1.000,1.000,0.500,0.500,0.5
10,Okla City,0.5,--,--,0.000,1.000,0.5
10,Milwaukee,0.5,--,--,1.000,0.333,0.5
10,Cleveland,0.5,--,--,0.000,1.000,0.5
10,New York,0.5,0.500,0.000,--,0.500,0.5
10,Memphis,0.5,--,--,1.000,0.000,0.5
18,Portland,0.556,0.500,0.000,0.500,0.600,0.556
19,Orlando,0.6,1.000,--,0.500,1.000,0.6
19,Golden State,0.6,1.000,1.000,1.000,0.500,0.6
19,San Antonio,0.6,--,--,1.000,0.333,0.6
19,Phoenix,0.6,0.500,0.000,0.500,1.000,0.6
19,New Orleans,0.6,1.000,1.000,0.500,0.667,0.6
24,Denver,0.667,0.500,0.000,1.000,0.500,0.667
25,Houston,0.75,0.500,1.000,0.667,1.000,0.75
25,Indiana,0.75,--,--,0.500,1.000,0.75
27,LA Clippers,0.8,1.000,--,0.667,1.000,0.8
28,Brooklyn,1.0,--,--,1.000,--,1.0
28,Charlotte,1.0,1.000,--,--,1.000,1.0
28,Washington,1.0,--,--,1.000,1.000,1.0
