Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,45.3%,46.4%,46.2%,45.7%,45.0%,45.3%
2,San Antonio,48.5%,48.9%,51.8%,47.8%,49.8%,48.5%
3,Miami,48.7%,43.6%,43.2%,47.5%,50.0%,48.7%
4,Detroit,48.9%,48.6%,47.9%,49.4%,48.2%,48.9%
5,New York,49.3%,49.0%,46.6%,48.4%,50.9%,49.3%
6,Boston,49.6%,51.0%,53.3%,50.6%,48.7%,49.6%
7,Cleveland,49.8%,48.4%,48.0%,50.5%,48.8%,49.8%
8,Houston,49.9%,51.0%,54.6%,50.5%,49.2%,49.9%
9,Golden State,50.0%,52.4%,55.3%,47.2%,51.4%,50.0%
10,Minnesota,50.1%,46.1%,47.8%,49.0%,51.2%,50.1%
11,Orlando,50.2%,47.8%,41.8%,48.6%,52.2%,50.2%
12,Denver,50.3%,53.1%,51.6%,48.1%,52.2%,50.3%
13,Phoenix,50.3%,49.5%,49.0%,48.8%,52.2%,50.3%
14,Atlanta,50.4%,55.5%,58.5%,51.5%,49.7%,50.4%
15,LA Lakers,50.5%,46.8%,51.5%,51.8%,49.6%,50.5%
16,Philadelphia,50.5%,49.6%,45.9%,51.4%,49.6%,50.5%
17,Dallas,50.5%,51.1%,51.8%,50.2%,51.3%,50.5%
18,Memphis,50.7%,45.5%,41.8%,50.5%,50.8%,50.7%
19,Toronto,50.7%,48.3%,47.3%,51.2%,50.3%,50.7%
20,LA Clippers,51.7%,53.1%,52.7%,52.0%,51.3%,51.7%
21,Portland,52.1%,50.3%,52.6%,49.9%,53.9%,52.1%
22,Charlotte,52.1%,51.1%,53.8%,51.4%,52.7%,52.1%
23,Milwaukee,52.3%,51.2%,48.7%,52.1%,52.5%,52.3%
24,Utah,52.5%,56.5%,58.6%,52.3%,52.8%,52.5%
25,Chicago,52.9%,54.9%,58.5%,53.5%,52.4%,52.9%
26,New Orleans,53.3%,52.3%,48.8%,53.2%,53.4%,53.3%
27,Indiana,53.8%,54.1%,53.8%,52.1%,55.2%,53.8%
28,Sacramento,54.0%,54.2%,59.2%,53.3%,54.5%,54.0%
29,Brooklyn,54.2%,48.4%,49.4%,55.6%,53.0%,54.2%
30,Washington,55.4%,58.1%,61.9%,55.3%,55.5%,55.4%
