Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Washington,2.55,2.091,1.889,2.902,2.305,2.104
2,Toronto,2.394,1.606,1.308,2.3,2.446,2.238
3,Orlando,2.301,2.351,3.417,2.378,2.21,1.567
4,Philadelphia,2.295,1.778,2.111,2.509,2.102,1.713
5,Chicago,2.223,2.5,1.2,1.98,2.4,2.429
6,Indiana,2.183,1.696,1.1,2.488,1.967,2.014
7,Dallas,2.132,2.0,2.111,2.08,2.25,1.933
8,Denver,2.067,2.273,2.125,1.95,2.183,2.4
9,San Antonio,1.977,1.481,1.9,1.818,2.295,1.972
10,Memphis,1.935,1.269,1.636,2.309,1.482,1.883
11,Miami,1.917,1.75,1.077,2.143,1.696,1.779
12,Milwaukee,1.835,1.5,1.429,2.169,1.411,1.818
13,Utah,1.826,1.056,1.1,1.797,1.865,2.072
14,Atlanta,1.774,1.148,0.857,1.491,1.923,1.758
15,Charlotte,1.743,1.167,1.857,1.973,1.618,1.593
16,Cleveland,1.724,2.875,2.6,1.896,1.547,1.768
17,Detroit,1.708,1.433,1.417,1.543,1.89,2.335
18,Portland,1.703,1.28,1.125,1.528,1.868,1.906
19,Sacramento,1.645,1.296,1.6,1.745,1.578,1.898
20,New Orleans,1.599,1.306,1.2,1.6,1.597,1.923
21,New York,1.591,1.875,2.0,1.802,1.255,1.844
22,Houston,1.574,1.762,1.875,1.514,1.644,1.964
23,Boston,1.554,1.895,0.857,1.632,1.468,1.655
24,Minnesota,1.54,0.909,0.353,1.309,1.812,1.705
25,Brooklyn,1.398,2.095,2.6,1.482,1.308,1.834
26,Phoenix,1.366,1.268,1.385,1.258,1.482,1.752
27,Golden State,1.366,1.061,0.786,1.397,1.35,1.502
28,LA Clippers,1.364,2.235,2.143,1.219,1.554,1.685
29,LA Lakers,1.326,1.4,1.667,1.345,1.315,1.95
30,Okla City,1.263,0.944,1.0,1.081,1.42,1.531
