Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Boston,5.9%,7.2%,5.1%,4.8%,7.0%,5.9%
2,Indiana,6.8%,6.7%,4.9%,7.3%,6.5%,6.8%
3,New York,7.3%,4.6%,5.7%,6.9%,8.0%,7.3%
4,Okla City,7.4%,9.8%,9.4%,8.6%,6.7%,7.4%
5,Minnesota,7.5%,8.2%,12.0%,7.6%,7.5%,7.5%
6,Denver,7.7%,8.1%,8.4%,7.1%,8.2%,7.7%
7,Philadelphia,7.8%,8.0%,6.3%,7.2%,8.4%,7.8%
8,Toronto,7.8%,10.0%,8.5%,7.9%,7.7%,7.8%
9,Detroit,7.9%,8.4%,8.8%,8.3%,7.4%,7.9%
10,Brooklyn,7.9%,6.7%,7.2%,9.2%,6.7%,7.9%
11,Memphis,7.9%,7.1%,4.8%,8.1%,7.7%,7.9%
12,Charlotte,8.0%,7.2%,4.8%,8.5%,7.6%,8.0%
13,Orlando,8.1%,6.9%,6.6%,8.8%,7.2%,8.1%
14,Cleveland,8.1%,9.1%,9.7%,8.7%,7.4%,8.1%
15,Milwaukee,8.1%,9.2%,8.1%,8.5%,7.7%,8.1%
16,Houston,8.2%,7.6%,8.4%,7.1%,9.2%,8.2%
17,Atlanta,8.3%,9.9%,9.5%,10.1%,7.2%,8.3%
18,Sacramento,8.3%,8.7%,10.6%,8.8%,8.0%,8.3%
19,San Antonio,8.3%,7.5%,6.7%,8.6%,7.8%,8.3%
20,Golden State,8.4%,10.2%,7.8%,7.8%,8.6%,8.4%
21,Chicago,8.5%,8.7%,11.3%,8.6%,8.4%,8.5%
22,New Orleans,8.7%,9.1%,8.3%,8.6%,8.8%,8.7%
23,Miami,9.0%,6.0%,4.4%,9.1%,8.8%,9.0%
24,Phoenix,9.3%,10.8%,15.6%,9.5%,8.9%,9.3%
25,Utah,9.4%,9.0%,14.1%,10.1%,8.5%,9.4%
26,Dallas,9.4%,12.0%,13.9%,9.4%,9.5%,9.4%
27,LA Lakers,9.5%,9.6%,11.8%,8.4%,10.2%,9.5%
28,LA Clippers,10.0%,8.2%,11.2%,10.2%,9.8%,10.0%
29,Portland,10.1%,13.2%,13.6%,10.0%,10.1%,10.1%
30,Washington,10.8%,9.1%,12.3%,10.1%,11.4%,10.8%
