Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Miami,0.0,0.0,0.0,0.0,0.0,0.0
1,Detroit,0.0,0.0,0.0,0.0,0.0,0.0
1,LA Clippers,0.0,0.0,0.0,0.0,0.0,0.0
1,Golden State,0.0,0.0,0.0,0.0,0.0,0.0
1,New York,0.0,0.0,0.0,0.0,0.0,0.0
1,Toronto,0.0,0.0,0.0,0.0,0.0,0.0
1,Charlotte,0.0,0.0,0.0,0.0,0.0,0.0
1,Memphis,0.0,0.0,0.0,0.0,0.0,0.0
1,LA Lakers,0.0,0.0,0.0,0.0,0.0,0.0
10,Dallas,0.1,0.0,0.0,0.1,0.0,0.1
10,Okla City,0.1,0.3,1.0,0.0,0.1,0.1
12,Indiana,0.1,0.0,0.0,0.0,0.1,0.1
13,Denver,0.1,0.3,1.0,0.0,0.1,0.1
13,Chicago,0.1,0.3,1.0,0.1,0.0,0.1
13,Washington,0.1,0.0,0.0,0.0,0.1,0.1
16,Houston,0.1,0.3,0.0,0.0,0.1,0.1
17,Cleveland,0.1,0.7,0.0,0.2,0.0,0.1
18,Atlanta,0.1,0.0,0.0,0.0,0.2,0.1
18,Minnesota,0.1,0.3,1.0,0.1,0.1,0.1
18,Phoenix,0.1,0.7,2.0,0.2,0.0,0.1
21,Philadelphia,0.1,0.0,0.0,0.3,0.0,0.1
22,Sacramento,0.2,0.3,1.0,0.3,0.1,0.2
22,Portland,0.2,0.0,0.0,0.4,0.0,0.2
22,Boston,0.2,0.0,0.0,0.0,0.4,0.2
22,Milwaukee,0.2,0.7,2.0,0.3,0.0,0.2
22,Orlando,0.2,0.0,0.0,0.1,0.3,0.2
27,Utah,0.2,0.3,1.0,0.3,0.1,0.2
27,San Antonio,0.2,0.0,0.0,0.0,0.6,0.2
29,New Orleans,0.4,0.3,0.0,0.6,0.1,0.4
30,Brooklyn,0.4,0.0,0.0,0.0,0.8,0.4
