Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Denver,123.0%,124.0%,126.1%,120.6%,125.2%,118.3%
2,LA Lakers,122.7%,129.1%,135.9%,123.9%,121.9%,117.3%
3,San Antonio,121.4%,125.5%,128.3%,123.6%,117.3%,114.2%
4,Toronto,120.7%,126.8%,137.9%,123.1%,119.3%,109.8%
5,Okla City,120.2%,130.2%,151.8%,119.6%,120.7%,116.2%
6,Minnesota,119.9%,110.4%,111.1%,117.2%,122.7%,116.2%
7,Milwaukee,119.7%,108.7%,116.1%,125.0%,112.9%,118.2%
8,Atlanta,119.3%,127.6%,135.2%,113.8%,122.6%,114.6%
9,Phoenix,118.5%,117.4%,120.3%,122.9%,113.0%,118.2%
10,Miami,118.0%,109.4%,118.3%,117.0%,118.9%,114.3%
11,Houston,117.7%,106.6%,106.3%,115.3%,120.3%,109.7%
12,Chicago,117.6%,113.3%,103.6%,118.4%,116.9%,116.0%
13,LA Clippers,117.0%,111.6%,103.0%,124.3%,109.2%,116.8%
14,Golden State,116.9%,113.3%,126.5%,121.9%,114.4%,112.3%
15,Orlando,116.6%,116.6%,122.4%,115.6%,117.9%,108.5%
16,Philadelphia,115.6%,113.8%,112.5%,116.4%,114.7%,111.7%
17,New York,115.1%,110.0%,103.1%,119.1%,107.8%,115.8%
18,Charlotte,115.0%,101.3%,100.5%,117.7%,112.9%,106.7%
19,Cleveland,114.9%,119.2%,117.8%,115.5%,114.2%,120.3%
20,Detroit,114.6%,121.5%,127.1%,113.1%,116.3%,114.8%
21,Utah,114.4%,120.7%,123.9%,121.1%,105.9%,112.7%
22,Portland,112.5%,107.9%,123.1%,110.8%,113.9%,110.1%
23,Brooklyn,112.1%,120.7%,122.9%,110.4%,113.6%,109.6%
24,Washington,112.0%,113.8%,112.9%,107.4%,115.2%,108.3%
25,Sacramento,112.0%,108.3%,110.2%,110.5%,113.1%,115.5%
26,Boston,111.5%,114.9%,108.6%,112.6%,110.3%,116.8%
27,Dallas,109.7%,109.7%,121.3%,111.2%,105.9%,115.8%
28,Memphis,109.4%,104.1%,123.0%,112.3%,105.5%,116.0%
29,New Orleans,108.3%,109.8%,108.8%,108.4%,108.3%,109.5%
30,Indiana,103.5%,115.4%,108.6%,108.4%,99.6%,118.1%
