Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Boston,1.019,1.017,1.01,1.049,0.99,0.993
2,New York,1.014,1.04,1.067,1.017,1.01,0.977
3,Houston,1.013,1.033,1.031,1.044,0.983,1.007
4,Indiana,0.997,0.968,0.971,0.984,1.007,0.956
5,Portland,0.991,1.015,1.0,0.976,1.003,0.975
6,Detroit,0.989,0.961,0.922,0.993,0.985,0.965
7,Cleveland,0.984,0.948,1.0,0.966,1.008,0.983
8,New Orleans,0.982,0.972,0.963,0.984,0.981,0.975
9,Philadelphia,0.978,0.974,0.973,0.978,0.979,0.968
10,Denver,0.978,0.971,0.969,0.997,0.961,0.97
11,Memphis,0.973,1.019,1.029,0.976,0.969,0.972
12,Okla City,0.972,0.927,0.896,0.97,0.973,0.99
13,Charlotte,0.969,1.013,1.086,0.946,0.987,0.968
14,Phoenix,0.966,0.957,0.88,0.948,0.99,0.955
15,Brooklyn,0.964,0.943,0.928,0.959,0.969,0.957
16,Utah,0.964,0.933,0.849,0.976,0.949,0.95
17,Orlando,0.963,0.994,1.009,0.95,0.981,0.971
18,Toronto,0.961,0.942,0.981,0.963,0.96,0.974
19,Minnesota,0.961,0.994,0.926,0.964,0.957,0.966
20,Miami,0.96,0.994,1.044,0.96,0.96,0.961
21,Chicago,0.957,0.955,0.913,0.961,0.954,0.956
22,San Antonio,0.955,0.961,0.99,0.948,0.968,0.971
23,Atlanta,0.945,0.917,0.905,0.946,0.945,0.967
24,Sacramento,0.944,0.917,0.875,0.941,0.947,0.977
25,Milwaukee,0.942,0.924,0.901,0.939,0.947,0.951
26,Golden State,0.942,0.936,0.951,0.966,0.93,0.985
27,LA Clippers,0.939,0.944,0.897,0.931,0.949,0.956
28,Washington,0.937,0.919,0.896,0.94,0.935,0.952
29,LA Lakers,0.935,0.936,0.945,0.938,0.932,0.957
30,Dallas,0.934,0.917,0.917,0.931,0.943,0.962
