Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Detroit,0.218,0.224,0.303,0.202,0.238,0.218
2,Orlando,0.225,0.205,0.187,0.232,0.217,0.225
3,Okla City,0.227,0.229,0.283,0.215,0.235,0.227
4,Dallas,0.229,0.244,0.231,0.227,0.234,0.229
5,Indiana,0.244,0.271,0.273,0.234,0.253,0.244
6,Denver,0.245,0.25,0.22,0.236,0.252,0.245
7,Houston,0.245,0.228,0.293,0.24,0.25,0.245
8,Boston,0.247,0.27,0.319,0.256,0.237,0.247
9,Toronto,0.247,0.222,0.245,0.244,0.248,0.247
10,Minnesota,0.251,0.198,0.23,0.248,0.254,0.251
11,Phoenix,0.252,0.237,0.166,0.229,0.28,0.252
12,Portland,0.252,0.274,0.282,0.234,0.267,0.252
13,Atlanta,0.253,0.272,0.325,0.251,0.254,0.253
14,Milwaukee,0.253,0.249,0.271,0.256,0.249,0.253
15,Cleveland,0.255,0.241,0.244,0.255,0.255,0.255
15,San Antonio,0.255,0.276,0.286,0.259,0.246,0.255
17,Philadelphia,0.255,0.259,0.271,0.256,0.254,0.255
18,Golden State,0.255,0.284,0.302,0.245,0.261,0.255
19,Chicago,0.255,0.25,0.305,0.274,0.24,0.255
20,Memphis,0.257,0.228,0.23,0.235,0.286,0.257
21,Miami,0.261,0.218,0.227,0.262,0.26,0.261
22,New York,0.262,0.253,0.219,0.264,0.259,0.262
23,LA Lakers,0.263,0.247,0.301,0.256,0.268,0.263
24,LA Clippers,0.269,0.275,0.3,0.273,0.265,0.269
25,New Orleans,0.275,0.297,0.278,0.271,0.279,0.275
26,Charlotte,0.277,0.27,0.304,0.273,0.28,0.277
27,Washington,0.28,0.311,0.34,0.275,0.283,0.28
28,Utah,0.282,0.305,0.339,0.297,0.265,0.282
29,Sacramento,0.283,0.327,0.403,0.269,0.294,0.283
30,Brooklyn,0.284,0.235,0.247,0.308,0.263,0.284
