Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,2.9,0.0,0.0,3.0,2.8,0.1
2,Houston,2.5,5.0,0.0,2.1,2.9,0.5
3,Utah,2.5,7.7,0.0,4.6,0.0,0.6
4,Philadelphia,2.0,5.7,17.0,0.0,4.3,0.6
5,Dallas,1.9,0.0,0.0,2.8,0.0,0.2
6,Milwaukee,1.6,2.7,8.0,2.9,0.0,0.7
7,Indiana,1.4,0.0,0.0,3.1,0.0,1.1
8,Chicago,1.3,0.0,0.0,0.0,2.5,0.5
9,LA Clippers,1.3,0.0,0.0,0.0,2.7,0.8
10,Washington,1.1,0.0,0.0,1.3,0.9,0.3
11,Golden State,0.9,0.0,0.0,2.8,0.0,0.2
12,Portland,0.9,0.0,0.0,0.0,1.7,0.5
13,San Antonio,0.9,0.0,0.0,0.0,2.6,0.2
14,Miami,0.8,0.0,0.0,1.5,0.0,1.2
15,Denver,0.7,0.0,0.0,0.0,1.4,1.4
16,Orlando,0.7,3.7,0.0,0.0,1.6,0.1
17,Detroit,0.7,0.0,0.0,1.3,0.0,0.6
18,Phoenix,0.6,0.0,0.0,0.0,1.4,0.9
19,Cleveland,0.6,0.0,0.0,0.0,1.4,0.3
20,New Orleans,0.6,0.0,0.0,1.1,0.0,0.4
21,Charlotte,0.3,0.0,0.0,0.0,0.6,0.4
22,Minnesota,0.0,0.0,0.0,0.0,0.0,0.8
22,New York,0.0,0.0,0.0,0.0,0.0,1.1
22,Brooklyn,0.0,0.0,0.0,0.0,0.0,0.5
22,Toronto,0.0,0.0,0.0,0.0,0.0,0.5
22,Memphis,0.0,0.0,0.0,0.0,0.0,0.2
22,LA Lakers,0.0,0.0,0.0,0.0,0.0,0.3
22,Sacramento,0.0,0.0,0.0,0.0,0.0,1.1
22,Atlanta,0.0,0.0,0.0,0.0,0.0,0.7
22,Boston,0.0,0.0,0.0,0.0,0.0,0.8
