Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,23.6,28.0,36.0,23.3,23.8,20.8
2,Denver,18.8,13.3,13.0,22.1,15.9,14.6
3,Phoenix,18.4,21.7,18.0,24.0,11.3,10.9
4,Minnesota,18.0,23.0,9.0,19.9,16.1,14.4
5,Houston,17.6,10.3,5.0,16.6,18.7,15.3
6,New York,17.3,9.7,8.0,22.2,8.4,15.1
7,Miami,17.0,22.3,41.0,17.5,16.5,13.6
8,Boston,16.9,15.3,6.0,18.5,15.3,18.6
9,Toronto,16.3,21.0,35.0,17.8,15.3,11.1
10,Cleveland,15.9,12.7,22.0,13.6,19.1,19.1
11,San Antonio,15.7,16.0,19.0,16.8,13.6,11.8
12,Detroit,14.5,18.0,19.0,15.3,13.6,13.0
13,Atlanta,14.1,7.0,8.0,11.7,15.6,11.5
14,LA Lakers,14.1,25.3,23.0,12.8,14.9,14.3
15,Orlando,13.9,19.7,30.0,13.6,14.3,12.7
16,Golden State,13.1,6.7,11.0,20.8,9.3,14.1
17,Memphis,12.8,22.3,48.0,18.1,6.0,15.6
18,Chicago,12.7,15.3,7.0,13.6,12.0,11.8
19,Utah,11.9,12.3,18.0,16.8,6.4,9.5
20,Portland,11.5,6.7,9.0,9.7,12.9,11.8
21,Philadelphia,10.9,7.0,13.0,9.1,13.0,9.6
22,Charlotte,10.8,3.3,2.0,13.4,8.5,7.1
23,Milwaukee,10.4,7.0,6.0,12.2,8.1,13.7
24,LA Clippers,10.3,5.0,2.0,14.0,6.0,15.2
25,Brooklyn,9.1,17.3,18.0,7.7,10.4,9.7
26,Washington,7.9,4.0,2.0,9.2,7.1,7.5
27,Dallas,7.8,4.7,4.0,8.2,6.8,12.9
28,Indiana,7.3,9.7,2.0,10.0,5.1,13.4
29,New Orleans,6.4,9.3,15.0,5.6,7.1,8.1
30,Sacramento,6.2,1.3,1.0,5.0,7.1,12.7
