Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Orlando,22.9%,19.2%,18.7%,22.4%,23.5%,22.9%
2,LA Lakers,22.9%,24.3%,27.3%,25.0%,21.4%,22.9%
3,Brooklyn,22.7%,24.8%,25.7%,22.5%,22.9%,22.7%
4,Detroit,22.4%,22.7%,23.5%,22.1%,22.8%,22.4%
5,Cleveland,22.2%,20.2%,21.4%,21.2%,23.5%,22.2%
6,Houston,22.0%,19.8%,20.9%,22.9%,21.2%,22.0%
7,Indiana,22.0%,21.7%,21.4%,21.7%,22.2%,22.0%
8,Portland,22.0%,24.0%,24.3%,23.0%,21.2%,22.0%
9,Dallas,21.8%,20.4%,18.5%,22.7%,19.7%,21.8%
10,Utah,21.7%,19.2%,15.1%,21.8%,21.6%,21.7%
11,Denver,21.6%,20.8%,23.0%,20.1%,23.0%,21.6%
12,Okla City,21.5%,23.2%,23.6%,21.7%,21.4%,21.5%
13,Minnesota,21.5%,24.1%,26.7%,22.3%,20.6%,21.5%
14,New York,21.4%,21.6%,24.8%,21.2%,21.9%,21.4%
15,San Antonio,21.4%,18.2%,22.9%,20.5%,22.9%,21.4%
16,New Orleans,21.1%,20.3%,17.6%,22.1%,20.1%,21.1%
17,Charlotte,21.1%,18.9%,20.9%,21.6%,20.6%,21.1%
18,Philadelphia,21.0%,20.5%,17.2%,22.1%,19.9%,21.0%
19,Memphis,20.5%,21.2%,21.1%,20.3%,20.8%,20.5%
20,Miami,19.8%,19.4%,23.6%,19.8%,19.7%,19.8%
21,LA Clippers,19.7%,19.0%,15.9%,19.7%,19.7%,19.7%
22,Toronto,19.6%,18.0%,20.8%,19.4%,19.8%,19.6%
23,Boston,19.6%,20.2%,17.5%,19.1%,20.0%,19.6%
24,Phoenix,19.5%,16.6%,21.2%,20.1%,18.7%,19.5%
25,Atlanta,19.4%,17.6%,14.3%,20.5%,18.8%,19.4%
26,Chicago,19.3%,15.7%,19.2%,20.0%,18.7%,19.3%
27,Milwaukee,18.9%,16.6%,13.5%,18.2%,19.9%,18.9%
28,Golden State,18.8%,19.8%,24.3%,18.6%,19.0%,18.8%
29,Sacramento,18.7%,15.7%,10.6%,18.4%,18.8%,18.7%
30,Washington,17.0%,17.2%,18.9%,16.0%,17.6%,17.0%
