Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Boston,5.9,7.0,5.0,4.8,7.0,6.9
2,Indiana,7.3,7.0,5.0,8.0,6.8,7.4
3,New York,7.6,5.0,6.0,7.1,8.4,7.0
4,Okla City,7.8,10.3,10.0,9.0,7.0,6.8
5,Minnesota,7.9,8.7,13.0,8.0,7.8,8.4
6,Denver,7.9,8.3,8.0,7.4,8.4,8.8
7,Brooklyn,8.0,6.7,7.0,9.4,6.8,8.0
8,Toronto,8.1,10.3,9.0,8.2,8.1,9.2
9,Philadelphia,8.1,8.3,7.0,7.4,9.0,7.4
10,Detroit,8.3,8.7,9.0,8.9,7.6,8.9
11,Memphis,8.3,7.3,5.0,8.6,8.0,8.8
12,Charlotte,8.3,7.3,5.0,8.6,8.1,8.8
13,Houston,8.4,7.7,8.0,7.1,9.6,8.0
14,Orlando,8.4,7.3,7.0,9.1,7.6,7.7
15,Milwaukee,8.5,9.7,9.0,8.9,8.0,7.4
16,Cleveland,8.6,9.3,10.0,9.0,8.0,7.6
17,San Antonio,8.6,7.7,7.0,8.8,8.2,8.1
18,Atlanta,8.7,10.3,10.0,10.5,7.6,9.1
19,Golden State,8.7,10.7,8.0,8.0,9.1,7.6
20,Sacramento,8.8,9.0,11.0,9.3,8.3,7.9
21,New Orleans,8.9,9.7,9.0,8.9,9.0,9.0
22,Chicago,9.1,9.7,13.0,9.1,9.1,8.1
23,Phoenix,9.6,11.7,17.0,9.9,9.3,8.5
24,LA Lakers,9.7,10.0,13.0,8.8,10.3,8.2
25,Miami,9.9,6.7,5.0,10.1,9.6,7.7
26,Utah,10.1,10.3,15.0,11.1,8.9,9.8
27,LA Clippers,10.1,8.3,12.0,10.1,10.1,8.7
28,Dallas,10.2,13.0,15.0,10.3,10.0,8.1
29,Portland,10.9,14.3,14.0,10.9,10.9,9.5
30,Washington,11.6,9.3,13.0,11.0,12.0,9.1
