Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,15.6%,19.4%,23.7%,16.9%,14.7%,15.0%
2,Detroit,15.0%,15.6%,16.8%,14.6%,15.4%,13.1%
3,Phoenix,14.6%,16.3%,17.9%,14.5%,14.7%,10.9%
4,LA Lakers,14.4%,16.0%,15.3%,14.5%,14.3%,12.1%
5,Golden State,14.4%,13.7%,17.0%,14.3%,14.4%,14.0%
6,New Orleans,14.1%,16.5%,16.8%,14.9%,13.3%,12.2%
7,Portland,14.1%,13.4%,12.5%,15.1%,13.3%,13.5%
8,Cleveland,14.0%,12.1%,11.5%,13.8%,14.3%,12.7%
9,Atlanta,13.9%,12.4%,9.6%,14.0%,13.9%,13.6%
10,Toronto,13.9%,15.8%,15.9%,13.8%,13.9%,13.1%
11,Minnesota,13.8%,18.3%,22.6%,14.1%,13.6%,13.2%
12,New York,13.7%,12.1%,15.7%,14.6%,12.1%,12.9%
13,Boston,13.3%,13.1%,13.4%,13.6%,12.9%,11.5%
14,San Antonio,13.2%,12.4%,14.5%,13.3%,13.1%,11.9%
15,Orlando,13.1%,15.3%,18.0%,13.2%,12.9%,14.7%
16,Milwaukee,12.6%,14.4%,11.5%,12.6%,12.5%,11.2%
17,Miami,12.5%,15.5%,14.7%,12.7%,12.4%,12.3%
18,Sacramento,12.5%,11.4%,6.9%,13.8%,11.6%,12.3%
19,Memphis,12.5%,14.2%,15.7%,12.0%,13.2%,12.6%
20,Brooklyn,12.5%,13.8%,11.7%,12.3%,12.6%,13.6%
21,LA Clippers,12.2%,7.5%,9.3%,12.8%,11.5%,13.5%
22,Utah,12.0%,13.0%,12.8%,11.8%,12.2%,10.2%
23,Houston,11.9%,10.2%,13.1%,12.3%,11.5%,12.6%
24,Philadelphia,11.9%,11.8%,12.3%,11.1%,12.7%,14.2%
25,Charlotte,11.8%,13.9%,13.9%,10.8%,12.7%,11.8%
26,Dallas,11.8%,10.8%,11.1%,11.5%,12.6%,11.6%
27,Indiana,11.7%,12.1%,12.0%,11.7%,11.6%,12.9%
28,Denver,11.2%,9.8%,12.4%,11.5%,10.9%,11.1%
29,Washington,10.2%,11.5%,12.6%,10.5%,9.9%,11.3%
30,Chicago,10.1%,8.8%,7.7%,9.7%,10.4%,10.8%
